,address,bathrooms,country,detailedType,district,exterior,externalReference,floor,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
649,piquer,4,es,{u'typology': u'flat'},Ciudad Lineal,True,,2,False,True,False,False,40.4659834,-3.6645727,Madrid,Atalaya,False,,36,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",3000.0,15.0,38299947,flat,Madrid,4,False,200.0,good,"{u'subtitle': u'Atalaya, Madrid', u'title': u'Piso en piquer'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/54/5a/ef/234066342.jpg,http://www.idealista.com/38299947
650,plaza Ciudad de Viena,1,es,{u'typology': u'flat'},Moncloa,True,G20362,5,False,True,False,False,40.4480121,-3.7160909,Madrid,Ciudad Universitaria,False,,8,rent,"{u'parkingSpacePrice': 100.0, u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': False}",1600.0,18.0,38297477,flat,Madrid,2,False,89.0,good,"{u'subtitle': u'Ciudad Universitaria, Madrid', u'title': u'Piso en plaza Ciudad de Viena'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0d/92/71/234029534.jpg,http://www.idealista.com/38297477
651,calle de montesa,1,es,{u'typology': u'flat'},Salamanca,False,774,,False,False,False,False,40.4322477,-3.6700428,Madrid,Lista,False,,2,rent,,1200.0,19.0,38300267,flat,Madrid,2,False,63.0,,"{u'subtitle': u'Lista, Madrid', u'title': u'Piso en calle de montesa'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/31/18/05/234068849.jpg,http://www.idealista.com/38300267
652,calle Pedrezuela,2,es,"{u'subTypology': u'penthouse', u'typology': u'flat'}",Campodón - Ventorro del Cano,True,IB00032,1,False,True,False,False,40.3948389,-3.8326217,Alcorcón,Campodón - Ventorro del Cano,False,,15,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",700.0,8.0,38300134,penthouse,Madrid,0,False,90.0,good,"{u'subtitle': u'Campodón - Ventorro del Cano, Alcorcón', u'title': u'Ático en calle Pedrezuela'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c3/77/4b/234068190.jpg,http://www.idealista.com/38300134
653,barrio Chueca-Justicia,1,es,{u'typology': u'flat'},Centro,True,M-14-00172,4,False,True,True,True,40.4197676,-3.6980913,Madrid,Chueca-Justicia,False,,22,rent,,2000.0,22.0,34342374,flat,Madrid,1,False,91.0,good,"{u'subtitle': u'Chueca-Justicia, Madrid', u'title': u'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cc/2a/8b/163027589.jpg,http://www.idealista.com/34342374
654,"calle Monteleón, 36",2,es,{u'typology': u'flat'},Chamberí,True,,2,False,True,False,False,40.4298659,-3.7045797,Madrid,Trafalgar,False,,10,rent,,1800.0,15.0,38300144,flat,Madrid,3,True,120.0,good,"{u'subtitle': u'Trafalgar, Madrid', u'title': u'Piso en calle Monteleón, 36'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/f2/3c/234067494.jpg,http://www.idealista.com/38300144
655,calle de Gerardo Cordón,1,es,{u'typology': u'flat'},Ciudad Lineal,True,,bj,False,True,False,False,40.428733,-3.6537203,Madrid,Ventas,False,,15,rent,"{u'parkingSpacePrice': 90.0, u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': False}",700.0,18.0,36150178,flat,Madrid,1,False,40.0,good,"{u'subtitle': u'Ventas, Madrid', u'title': u'Piso en calle de Gerardo Cordón'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/08/03/1b/192639259.jpg,http://www.idealista.com/36150178
656,"nanclares de oca, 24",2,es,{u'typology': u'flat'},San Blas,True,ges-nanc,1,False,True,False,False,40.445398,-3.5766298,Madrid,Rejas,False,,14,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",1100.0,11.0,38300189,flat,Madrid,2,True,102.0,good,"{u'subtitle': u'Rejas, Madrid', u'title': u'Piso en nanclares de oca, 24'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d2/14/02/234067695.jpg,http://www.idealista.com/38300189
657,barrio Pacífico,1,es,{u'typology': u'flat'},Retiro,True,pacificoalquila1,3,False,True,False,False,40.4067126,-3.6803135,Madrid,Pacífico,False,,2,rent,,850.0,15.0,38300140,flat,Madrid,1,False,55.0,good,"{u'subtitle': u'Pacífico, Madrid', u'title': u'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/97/ff/95/234066746.jpg,http://www.idealista.com/38300140
658,avenida de Canillejas a Vicálvaro,2,es,{u'typology': u'flat'},San Blas,True,ges-cani,1,False,True,False,False,40.43389,-3.60939,Madrid,Rosas,False,,8,rent,,850.0,9.0,38300148,flat,Madrid,3,False,97.0,good,"{u'subtitle': u'Rosas, Madrid', u'title': u'Piso en avenida de Canillejas a Vicálvaro'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f6/5d/7f/234066720.jpg,http://www.idealista.com/38300148
