,neighbourhood_group_cleansed,availability_30,is_location_exact,host_identity_verified,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,price,Price_Person_Night,room_type,security_deposit,cleaning_fee,number_of_reviews,cancellation_policy,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_value,extra_people,guests_included,accommodates,host_is_superhost,instant_bookable
8880,Carabanchel,30,f,t,2.0,1.0,1.0,2,10,21.302,21.302,Private room,0.0,0.0,1,moderate,0.81,80.0,10.0,8.0,0.0,1,1,f,f
8881,Carabanchel,30,f,f,2.0,1.0,2.0,1,1125,29.8228,29.8228,Private room,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,1,f,f
8882,Carabanchel,1,f,f,1.0,1.0,2.0,3,1125,50.0597,50.0597,Entire_home/apt,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,4,f,f
8883,Carabanchel,14,f,f,1.0,2.0,4.0,2,1125,53.255,53.255,Entire_home/apt,0.0,14.0831846775,1,moderate,1.0,100.0,10.0,10.0,0.0,1,4,f,f
8884,Carabanchel,3,t,t,1.0,1.0,1.0,1,1125,31.953,31.953,Private room,0.0,0.0,80,flexible,3.76,98.0,10.0,10.0,0.0,1,2,t,t
8885,Carabanchel,3,f,f,1.0,1.0,1.0,2,1125,22.3671,22.3671,Private room,0.0,0.0,66,moderate,1.61,92.0,9.0,9.0,10.3276687635,1,2,f,f
8886,Carabanchel,12,t,f,1.0,1.0,1.0,1,1125,21.302,21.302,Private room,0.0,0.0,0,flexible,0.0,0.0,0.0,0.0,0.0,1,1,f,t
8887,Carabanchel,30,t,f,1.0,1.0,1.0,2,5,20.2369,20.2369,Private room,0.0,0.0,1,flexible,0.22,100.0,10.0,10.0,4.6943948925,1,1,f,f
8888,Carabanchel,29,t,f,1.0,1.0,1.0,3,1125,26.6275,26.6275,Private room,93.88789785,9.388789785,0,moderate,0.0,0.0,0.0,0.0,51.6383438175,1,2,f,f
8889,Carabanchel,11,f,f,1.0,1.0,1.0,1,1125,47.9295,47.9295,Entire_home/apt,0.0,0.0,4,moderate,1.71,87.0,9.0,10.0,0.0,1,2,f,f
8890,Carabanchel,1,f,f,2.0,3.0,4.0,4,1125,101.1845,101.1845,Entire_home/apt,563.3273871,37.55515914,0,strict,0.0,0.0,0.0,0.0,0.0,1,6,f,t
